patient,assay,status,sample,lane,fastq_1,fastq_2,strandedness
HCC1395,DNA,0,HCC1395N,1,HCC1395N_R1.fastq.gz,HCC1395N_R2.fastq.gz,
HCC1395,DNA,1,HCC1395T,1,HCC1395T_R1.fastq.gz,HCC1395T_R2.fastq.gz,
